Latitude,Longitude
38.7221,-77.4444
38.8356,-76.8411
37.2386,-78.4589
29.9461,-104.2391
34.6107,-88.5242
39.7357,-84.648
41.6853,-92.5332
42.7221,-112.8182
46.9379,-113.0493
35.3994,-101.8943
41.7403,-77.9042
41.3347,-95.5518
35.1821,-96.9595
39.3466,-96.3539
38.0025,-87.8613
41.4674,-87.0746
44.4745,-89.475
34.2247,-89.0355
45.4696,-92.4193
30.8186,-94.897
35.1357,-84.511
44.8981,-123.4282
37.623,-93.3955
41.6673,-93.5815
28.0031,-81.7384
41.9678,-70.8615
42.1314,-104.9676
39.3441,-94.7555
29.5375,-89.8306
39.0148,-120.7424
36.8385,-79.3957
34.9475,-95.7985
35.5808,-77.3685
45.798,-69.2708
27.9341,-82.7715
32.9849,-111.4931
31.9681,-111.7806
39.3683,-91.1708
31.175,-90.4044
37.471,-82.3248
38.3898,-87.2403
39.6204,-90.9168
47.0256,-122.0375
34.8536,-82.6924
34.4696,-84.4869
33.2663,-88.0727
40.0383,-88.6044
40.0048,-75.1385
38.7213,-93.2813
37.2052,-77.3908
35.6326,-87.8588
37.7345,-89.8308
31.1715,-88.9932
38.0538,-86.6108
40.7421,-89.7691
45.5258,-68.4345
44.0997,-103.0311
36.2112,-89.8163
30.7369,-89.5804
32.5654,-83.8325
43.9728,-116.8348
41.0117,-74.308
36.3172,-76.3078
28.3248,-82.3938
32.7816,-97.8046
39.7787,-87.1924
44.4063,-109.4153
45.597,-110.5064
32.1837,-94.3114
34.3561,-89.9593
35.1476,-76.8618
26.6457,-80.4653
46.5179,-123.6271
43.3679,-87.9585
44.5715,-70.6599
39.3203,-86.8697
44.419,-88.4637
32.4909,-92.1743
42.9875,-86.0057
42.6115,-74.9894
43.4316,-76.2142
39.3506,-98.7681
38.6542,-95.7293
44.7761,-72.2585
43.2522,-78.2296
30.0207,-89.9829
36.6933,-91.3993
33.4424,-80.8092
43.9959,-72.4402
30.1075,-93.8955
41.3876,-74.3315
38.5438,-86.4952
33.6664,-117.7196
46.6939,-89.364
42.808,-77.2821
43.0228,-76.2029
45.6879,-89.5447
43.2406,-75.4975
44.0156,-92.3784
35.553,-97.4075
30.6992,-86.5921
40.1011,-80.6141
38.9655,-84.9412
42.046,-89.3137
45.0268,-88.3037
34.7647,-83.1063
39.8409,-74.2864
42.6613,-83.387
33.1131,-88.5698
37.1384,-78.0695
40.8903,-76.6908
40.7524,-75.3992
36.3559,-77.3693
36.8988,-76.2389
42.1571,-71.1978
40.3528,-94.8889
36.3869,-97.2468
41.402,-85.4233
43.1973,-78.7555
30.7161,-93.745
32.4054,-89.1188
40.9788,-87.4012
33.5555,-83.8413
37.0899,-76.4907
41.5658,-71.1692
34.3026,-81.6234
40.7882,-73.9605
36.6039,-89.6708
41.4966,-71.9364
41.4087,-72.9095
34.159,-77.8974
39.5657,-75.6751
39.2666,-121.01
32.7549,-89.1169
37.7582,-85.5289
32.0628,-96.4755
35.3134,-110.2972
42.9727,-106.7878
31.7492,-93.205
40.7554,-73.573
35.9636,-77.977
38.5106,-122.3262
31.5347,-94.5952
32.4916,-84.8638
34.4847,-97.1165
44.0223,-95.7634
45.5805,-122.6646
43.6783,-92.7495
39.6126,-88.6408
46.635,-101.1905
45.4638,-119.5752
40.8677,-74.5721
39.5438,-78.2986
41.0775,-111.6511
39.4884,-86.4692
39.7065,-90.1763
34.4947,-86.834
32.7574,-91.8294
36.0086,-104.9416
35.2784,-79.4623
44.0178,-96.671
37.1748,-80.3743
30.3293,-95.5146
36.477,-87.37
40.2123,-75.3632
39.7534,-84.2913
42.9109,-74.4198
38.9155,-91.4522
39.1442,-77.2388
40.0431,-86.894
32.2329,-86.2039
36.3564,-121.494
33.7131,-97.732
35.4386,-84.2156
43.1531,-77.6857
39.5012,-92.0092
33.8726,-88.476
41.908,-83.5514
39.1741,-86.5267
38.3052,-90.1415
33.0262,-83.8828
39.5788,-79.9721
40.2791,-74.1884
35.6177,-113.9958
30.7466,-88.2172
32.2991,-100.9214
47.1072,-113.9449
43.6819,-96.7914
37.7434,-82.2155
44.0156,-97.6104
43.0178,-87.9818
38.2239,-92.4463
39.0955,-113.0316
30.7849,-96.9758
40.6034,-77.6476
40.4306,-74.4006
42.4472,-71.2884
41.4527,-72.5231
25.5592,-80.5906
40.7805,-86.0549
43.3128,-71.686
37.4167,-81.0766
41.279,-80.2594
40.2809,-74.6827
37.1882,-120.609
39.3833,-123.4391
30.9164,-99.8004
29.4024,-99.1087
43.641,-85.3244
36.7165,-78.3332
35.2586,-80.831
44.5827,-102.7842
35.1939,-88.5778
35.4432,-84.6183
31.5514,-97.2004
47.5039,-101.0353
37.5321,-87.2117
40.5209,-88.8633
47.7125,-103.3429
35.3474,-95.6632
31.4956,-81.4702
35.7389,-82.0433
34.0618,-94.8152
35.0959,-97.5356
35.6297,-87.0804
20.8031,-156.3111
62.3637,-149.7135
28.8246,-95.9122
37.2023,-88.6978
30.7183,-99.2239
38.6145,-83.8041
43.6862,-94.5511
38.7056,-86.8034
34.7467,-89.5112
36.9053,-88.3329
42.0363,-92.9991
41.3315,-86.2622
41.0318,-89.3429
34.3531,-86.3454
37.5466,-119.9593
35.1518,-85.6252
44.9852,-122.8053
39.8028,-91.607
31.2157,-89.8428
39.7798,-86.1394
38.6548,-88.9187
29.2407,-82.0227
38.0685,-122.7009
38.1513,-91.9061
32.269,-87.7608
44.8951,-89.7693
44.1103,-87.8415
27.4274,-82.3328
43.2329,-117.6274
41.0189,-80.7594
30.9585,-95.9474
35.6097,-88.8422
35.8721,-82.6653
42.9545,-75.7265
45.2788,-111.9151
32.6428,-90.0085
32.3776,-91.2339
40.1589,-85.7193
38.8281,-89.8552
43.7859,-111.6916
30.4557,-83.4724
34.7333,-86.5722
37.2724,-119.6358
39.2597,-89.9251
36.5267,-86.0142
39.8618,-88.9818
32.4142,-85.7275
42.6525,-82.8989
37.4008,-79.1841
43.8596,-99.8372
41.3309,-77.0538
41.1656,-75.9546
32.1966,-107.7641
34.5765,-84.0269
46.4984,-85.5522
41.5756,-83.7457
33.6145,-101.8206
33.5167,-88.4303
30.8282,-83.2435
31.826,-103.5679
33.8942,-97.3498
39.0858,-77.6642
35.7566,-84.2886
34.2663,-118.1424
41.2889,-82.1103
40.1187,-89.3736
42.7304,-77.7813
39.7889,-93.5615
42.6027,-83.9111
40.8666,-88.5871
28.4249,-98.1422
41.7615,-73.2599
44.4967,-122.5258
42.4553,-110.8185
48.4634,-115.4496
39.0483,-90.9874
44.0785,-69.5866
31.5165,-96.5516
34.7752,-87.0313
30.1848,-94.8629
31.8255,-81.5252
47.1899,-112.5344
46.5892,-122.3843
43.8336,-75.4915
29.2967,-82.749
37.1142,-82.8932
37.1023,-83.3517
31.3146,-95.9962
30.4796,-84.2219
35.2179,-77.6761
40.6036,-75.584
33.5228,-90.2772
36.7435,-82.9795
30.2949,-96.8887
34.2851,-88.685
26.5436,-81.7444
40.3762,-76.4439
37.1077,-93.8331
38.8406,-86.48
38.709,-87.7143
34.5516,-87.3181
29.3566,-96.8972
32.3986,-88.6626
34.87,-87.5844
40.4545,-120.6616
41.2787,-88.8759
40.6291,-105.4465
41.3266,-104.6666
41.506,-86.7274
43.8651,-122.7483
37.7254,-76.4625
34.7677,-80.695
40.0187,-76.2339
40.7872,-96.6872
44.6012,-72.6366
33.6614,-95.5832
41.438,-87.3727
42.3243,-88.0155
28.8116,-81.6866
39.1258,-122.7929
29.5039,-90.3832
42.6602,-90.1317
39.1019,-93.7971
34.3592,-89.4837
30.2094,-92.1134
41.4017,-75.6407
28.301,-99.0981
33.6724,-113.9329
43.9075,-91.1276
41.2387,-85.8534
47.6775,-116.6828
57.377,-153.1926
35.9904,-83.8971
44.1416,-69.1941
38.662,-87.4295
40.9298,-90.2134
47.1679,-120.6629
47.6727,-122.6826
34.8597,-98.9635
40.6553,-73.9391
35.9457,-97.9428
37.7066,-76.8602
47.4335,-121.8726
55.5925,-130.4203
30.0494,-99.3054
35.3032,-118.7204
38.9462,-84.535
41.6827,-71.6185
43.0341,-85.5504
39.0975,-75.5721
42.5814,-88.0586
44.4146,-69.7897
41.5904,-88.4291
60.1107,-150.509
32.7519,-88.6416
36.8036,-97.1074
32.5982,-96.2991
22.0505,-159.559
28.9476,-97.9006
41.1487,-87.8846
41.9379,-88.4322
38.2982,-81.5239
40.4791,-77.5026
58.3893,-134.411
39.6657,-112.8826
32.7392,-99.8789
35.0101,-77.4145
31.6287,-89.1716
35.5376,-78.3875
38.7483,-93.8131
38.9038,-94.8319
41.645,-91.5998
39.4828,-86.1012
37.4479,-88.8773
42.3507,-90.1821
39.094,-90.3706
39.0071,-85.621
30.263,-92.8281
43.0217,-88.7768
47.8319,-123.6728
29.8764,-94.1418
36.0438,-83.4658
41.1414,-79.005
40.3772,-80.7422
44.0407,-75.8085
38.2529,-90.5695
29.758,-90.1332
38.1944,-85.6526
38.7525,-85.4432
38.3005,-88.9236
39.5234,-105.2388
34.2766,-91.9612
33.5455,-86.8602
30.761,-104.158
40.4373,-85.0053
30.7013,-93.9986
37.2065,-94.3365
41.0105,-87.1034
39.0124,-88.1545
28.9696,-96.562
43.6926,-101.6317
34.5984,-99.3749
39.039,-94.3583
30.5287,-88.6434
32.3213,-92.5438
38.8901,-86.0369
40.664,-106.3228
33.2355,-98.1705
34.2716,-88.3623
36.8934,-76.6913
40.7483,-87.8255
37.8165,-113.3138
37.5072,-90.6587
35.7741,-80.9217
36.6305,-117.5174
42.5982,-84.3736
40.6373,-79.0962
27.7062,-80.637
33.0271,-115.3605
30.261,-91.3159
35.8101,-101.3545
43.3148,-97.7556
40.8297,-85.4885
40.4023,-78.0489
40.5639,-74.9125
33.1232,-96.0795
36.0246,-87.7738
33.1263,-90.5253
40.7376,-123.8951
40.7337,-74.0641
36.7824,-91.8936
39.1583,-92.6917
39.236,-76.8932
40.4698,-86.1192
31.26,-95.4349
36.2734,-87.7325
31.1562,-85.2809
33.9375,-78.9789
33.1751,-95.5852
45.4923,-121.6721
21.484,-158.0381
40.0637,-95.2324
33.1279,-90.0729
30.8497,-85.8166
32.3116,-90.4249
42.953,-71.7203
27.9097,-82.2405
31.9888,-97.1227
39.2048,-83.6091
37.9393,-93.2909
43.4652,-74.9411
36.6989,-79.9864
36.3112,-88.3117
41.3226,-84.0553
38.4671,-85.1459
39.9332,-85.3884
37.5317,-77.3031
45.012,-93.4873
39.7622,-86.5068
32.1827,-95.8182
35.6209,-88.4005
37.8072,-87.5774
40.8522,-90.9209
35.6097,-89.2708
35.5419,-82.9658
30.065,-98.0268
36.4187,-82.9469
19.591,-155.4494
35.2553,-95.1327
41.7924,-72.744
38.4398,-78.8702
39.2852,-80.3964
32.5634,-94.3724
40.3566,-93.9891
30.4902,-89.1126
38.4301,-84.3284
38.1907,-86.1341
29.8346,-95.389
32.7279,-84.8993
36.8014,-99.6494
39.511,-76.2962
38.9993,-78.8269
30.3124,-94.3867
37.726,-85.94
35.2109,-88.9869
43.676,-97.7865
37.7717,-77.5521
44.7441,-68.3219
39.8222,-85.775
40.4172,-91.1408
37.0509,-76.407
42.3699,-72.7142
42.1702,-72.6267
31.7167,-98.0987
35.2216,-85.1533
39.1671,-84.5575
43.6856,-74.505
40.0846,-86.0524
34.534,-100.6806
40.8731,-98.5022
36.803,-78.9171
34.068,-101.8263
38.7039,-106.9748
29.9344,-85.2103
36.0738,-79.7901
34.7867,-104.7101
40.1149,-93.5655
41.2873,-88.4183
30.5451,-95.9916
33.7834,-89.8219
32.509,-94.8444
34.1825,-82.0799
34.8506,-82.3557
38.5657,-82.9522
39.871,-80.2239
42.2823,-74.1308
37.2588,-93.3336
31.2173,-88.6393
39.0348,-86.9615
32.8362,-88.0005
37.976,-80.4033
42.6775,-89.6024
33.6831,-96.662
37.4721,-86.3497
47.1649,-123.8418
47.284,-119.492
36.8036,-97.7862
45.9343,-96.0116
38.6403,-84.6381
40.5179,-85.655
44.7892,-73.2928
36.2508,-83.5495
39.3498,-99.883
43.9691,-71.7378
35.0328,-97.8818
34.5244,-84.8721
44.455,-92.7349
29.4484,-97.5027
28.6571,-97.4682
31.2334,-81.5432
39.6999,-75.1442
39.5921,-122.4405
26.9796,-81.2237
45.44,-120.2443
35.2244,-87.0214
33.7446,-110.685
38.3499,-87.5678
33.449,-79.3455
40.2114,-94.4104
43.0001,-78.1865
35.2834,-81.1822
38.4294,-91.5057
33.1798,-101.298
39.463,-79.2891
29.3824,-95.0331
45.3376,-111.2056
37.7452,-88.2157
40.2659,-96.69
30.5501,-84.6353
40.193,-99.9124
41.041,-86.2066
40.4504,-90.1768
33.845,-84.4039
36.7515,-119.6373
31.7139,-96.1581
38.2983,-77.4857
39.4703,-77.3679
46.4669,-118.9422
44.8257,-72.8735
44.5612,-74.2572
38.4568,-91.052
45.0569,-70.4637
38.2397,-84.8667
39.3971,-85.0571
37.9944,-88.9238
29.8538,-84.8366
34.4509,-87.844
40.1604,-87.2644
29.5257,-95.746
36.1176,-80.2522
38.2987,-85.8932
48.303,-114.0979
32.7425,-100.4024
47.2602,-109.3598
38.0418,-81.0963
29.8921,-96.9151
35.2022,-89.4141
39.6562,-85.1677
38.98,-89.0318
33.7201,-87.7385
33.6132,-96.1193
34.7944,-84.1995
31.2537,-96.9393
34.3737,-81.0779
41.3271,-73.3274
38.852,-77.3021
38.8316,-77.3234
64.8624,-146.3565
34.0211,-86.0433
44.6823,-71.7338
40.7945,-74.2539
42.6513,-71.0076
30.6538,-87.3304
31.1268,-87.158
42.0598,-80.0158
42.7691,-78.6668
32.214,-98.2274
36.6973,-77.535
45.5315,-84.9213
32.5672,-82.3078
32.5877,-86.1519
32.3014,-96.7619
41.5984,-85.8585
41.4107,-78.757
39.2151,-104.189
31.6952,-106.1718
38.8296,-104.5628
38.7852,-120.5254
39.0658,-88.5834
33.7548,-81.9474
44.7306,-91.286
42.5931,-84.8387
32.2936,-98.8015
30.8248,-91.0387
30.5161,-91.0892
36.0492,-89.4236
27.6613,-98.5174
30.3866,-81.7798
41.7622,-73.728
34.951,-77.9078
41.8389,-88.091
44.9461,-91.8932
47.4051,-102.6524
36.3139,-90.0156
42.485,-90.8953
38.3651,-86.8769
41.2919,-96.1502
39.3483,-104.9202
32.4252,-106.8378
38.894,-76.9882
37.0729,-77.6462
33.6166,-100.7789
29.0996,-97.3051
34.8543,-89.963
39.7644,-104.9549
33.2078,-97.1156
37.6036,-91.4819
33.357,-95.7245
45.8554,-87.1712
40.2856,-82.9997
42.1831,-74.9537
40.2284,-85.3965
41.6916,-123.9049
41.4015,-84.9986
41.8825,-88.7714
39.2866,-85.4915
30.8823,-84.5722
39.1215,-84.9602
34.9635,-102.6051
34.3886,-104.4205
39.9617,-93.9832
38.6977,-87.0972
35.9021,-80.5375
36.1844,-86.7808
40.3906,-76.8372
35.7741,-75.8627
43.073,-89.4247
32.7661,-96.7774
32.3888,-87.1278
31.4079,-85.6038
44.6986,-93.0252
34.8062,-85.5116
41.4559,-81.6805
34.6369,-103.3746
35.9474,-84.9777
40.1368,-77.3185
35.051,-78.8717
39.3728,-75.124
43.85,-70.4132
36.7784,-85.408
39.2765,-88.2406
38.5056,-78.0018
34.0862,-86.9042
31.3019,-104.4978
38.298,-103.7784
46.4798,-94.0703
33.6161,-101.3
35.8359,-89.1825
37.3369,-88.0854
31.7415,-86.2967
43.2104,-90.8849
37.9553,-91.3106
38.2644,-86.4229
39.016,-87.7586
37.4878,-80.1897
46.1148,-122.6116
37.2332,-96.8375
37.7808,-79.9886
31.2565,-86.4472
34.2753,-98.3742
31.394,-97.8008
42.6006,-76.0718
45.7135,-101.1566
31.8678,-90.4268
32.9278,-86.2616
43.1398,-124.0606
44.6987,-71.3169
38.8709,-92.7894
33.6877,-97.2144
41.8129,-87.7536
31.1889,-83.4296
42.8966,-105.4856
37.8886,-121.9129
31.4682,-86.9508
31.9702,-98.5993
34.6414,-98.4841
29.8168,-98.2891
40.7609,-80.8031
43.4614,-89.3035
45.9577,-123.0865
42.2448,-73.6407
31.1805,-83.77
29.6055,-96.5236
34.9674,-100.2701
33.1929,-96.5676
26.1608,-81.3445
36.608,-104.6914
39.5297,-88.2167
38.5307,-92.2447
34.7368,-87.5953
31.8934,-100.5296
38.2295,-95.7381
35.4971,-86.0606
35.6465,-112.0424
31.8901,-109.7497
34.2547,-90.6431
41.2215,-77.6231
39.6007,-94.4041
40.3086,-86.4691
35.152,-97.2848
40.9898,-78.444
33.5008,-84.352
39.2858,-94.4063
39.35,-97.1652
39.3825,-87.091
29.9562,-81.8292
33.2947,-85.8155
46.0053,-123.6441
32.0179,-88.6852
33.9437,-83.3976
31.5888,-87.8145
44.7321,-90.6192
45.8042,-122.52
35.933,-115.2601
40.4319,-91.7323
38.4373,-85.8012
39.323,-87.8036
41.2028,-79.4375
48.13,-124.0838
32.8018,-92.9816
28.8593,-82.4374
34.9699,-107.7712
39.5865,-89.2797
44.4425,-73.0527
45.0767,-91.2876
32.8658,-86.665
34.5307,-100.2067
33.9062,-88.929
39.7879,-101.7307
37.3899,-77.6298
42.9472,-72.2973
36.7083,-76.2763
31.7826,-95.1853
35.0121,-81.6338
37.1699,-94.8463
42.4711,-75.6351
42.1465,-76.7623
36.2485,-87.0841
42.2858,-79.3876
32.0419,-81.1414
32.7585,-80.1952
43.1697,-98.475
39.4648,-92.9621
40.1363,-88.2017
29.7071,-94.5223
32.9225,-85.3942
40.9728,-77.8043
37.7342,-93.8397
43.0195,-76.6022
42.2766,-78.6848
35.6888,-81.2042
31.598,-91.9166
46.9355,-97.2363
40.9287,-96.1512
38.6442,-94.364
40.7369,-86.3737
39.9992,-90.2462
34.8384,-76.6488
34.2927,-97.248
36.9581,-90.9582
35.3997,-101.3546
39.4112,-93.4723
33.4438,-89.9616
39.5348,-77.0131
40.5879,-86.5729
38.0149,-77.3703
38.8895,-75.8358
41.7236,-106.7915
39.1268,-74.8257
37.3671,-89.644
37.2284,-79.0965
26.1073,-97.5787
39.8025,-74.9898
30.9392,-81.677
40.485,-78.7333
43.5285,-114.836
38.5432,-76.5914
38.8109,-91.8934
32.2983,-99.3739
38.8292,-81.1142
28.5138,-96.695
33.6735,-80.7857
33.9406,-89.3227
33.7625,-85.8417
44.4632,-72.1084
29.8519,-97.6266
35.9399,-81.5596
30.2641,-93.3691
38.1718,-120.6567
35.2039,-98.3564
32.6083,-93.9011
38.413,-82.2762
35.3455,-80.5464
39.7252,-121.5788
40.9272,-79.9263
39.444,-84.5771
36.7128,-90.3906
37.787,-96.8395
31.7404,-86.6759
41.8649,-96.3464
39.8671,-74.6832
30.5133,-96.6354
46.9823,-100.5255
35.7795,-81.7535
33.0511,-81.9246
41.3661,-89.5108
35.6207,-82.5391
32.0945,-85.7131
44.3147,-91.722
39.6759,-94.8051
36.7851,-77.8417
34.1198,-78.2512
31.7664,-98.958
39.8201,-95.5642
26.1511,-80.4895
42.2087,-75.8619
27.0383,-98.2019
40.2763,-80.5678
40.856,-73.8664
36.6362,-82.1156
41.702,-71.2699
41.7892,-71.2278
28.3079,-80.7834
30.6529,-96.3806
29.2123,-95.5313
38.7116,-80.7316
41.9159,-85.0588
35.1731,-84.8524
37.6248,-84.8608
41.5026,-112.9735
33.4761,-94.3949
40.088,-105.3448
37.5543,-79.7551
32.6292,-93.599
31.8982,-97.6486
38.9469,-92.3414
40.0509,-86.4686
38.8833,-89.4467
35.6773,-83.9095
34.0126,-86.5339
37.1272,-81.0776
40.4934,-78.3483
40.4729,-85.3261
43.2471,-112.2977
46.9806,-103.3627
44.5851,-107.9869
32.8066,-83.6856
33.0388,-87.0967
29.4377,-98.4722
35.0448,-106.677
42.3939,-73.2014
40.4065,-75.9294
40.9485,-74.0323
46.2826,-119.5709
45.6899,-93.9838
